order_id,customer_id,order_amount,order_date
112,159,12.6,2026-07-31
113,272,42.04,2025-10-11
114,83,172.59,2025-10-07
115,390,426.62,2025-10-26
116,500,477.3,2025-11-11
117,71,436.83,2026-03-13
118,295,121.21,2026-06-27
119,445,498.73,2025-12-08
120,103,489.28,2026-01-25
121,30,224.62,2026-01-16
122,301,27.77,2026-01-28
123,251,182.44,2026-03-27
124,185,267.93,2026-08-30
125,392,89.14,2025-11-23
126,147,311.76,2026-05-10
127,471,119.93,2026-07-09
128,477,-131.39,2026-04-29
129,162,451.1,2026-07-13
130,307,41.56,2026-06-07
131,257,321.27,2025-10-06
132,394,231.13,2026-01-18
133,391,427.4,2026-03-23
134,303,288.1,2025-09-22
135,406,15.86,2025-09-05
136,51,140.87,2025-11-03
137,294,455.76,2026-03-03
138,361,388.99,2026-02-07
139,257,113.41,2026-06-16
140,141,340.49,2026-03-28
141,41,315.98,2026-07-13
142,374,157.92,2025-10-06
143,303,367.52,2026-03-14
144,206,166.73,2025-09-17
145,375,70.42,2025-11-18
146,169,267.77,2026-07-16
147,494,132.2,2026-07-23
148,347,483.86,2026-02-23
149,78,403.1,2025-09-19
150,407,74.67,2025-09-29
151,375,483.8,2026-08-06
152,271,49.7,2026-07-28
153,269,270.6,2026-03-27
154,381,294.36,2025-09-14
155,26,58.63,2026-08-07
156,336,311.68,2025-12-26
157,65,458.05,2026-08-19
158,310,319.52,2026-04-04
159,47,326.37,2026-06-04
160,505,473.4,2026-05-20
161,139,62.48,2026-01-25
162,430,197.38,2025-09-30
163,425,295.73,2025-10-31
164,418,329.19,2025-11-29
165,380,469.83,2026-07-04
166,242,112.55,2026-01-22
167,377,428.45,2026-07-27
168,368,274.51,2026-01-01
169,126,34.97,2026-06-05
170,94,474.76,2025-10-23
171,22,333.07,2026-08-29
172,129,30.04,2026-05-25
173,213,394.55,2026-03-04
174,239,295.26,2026-08-24
175,3,167.64,2025-09-21
176,134,142.25,2026-02-08
177,113,272.41,2026-07-05
178,16,332.22,2026-01-04
179,332,182.33,2026-06-10
180,130,12.81,2026-08-17
181,66,372.15,2026-01-25
182,112,240.74,2026-06-12
183,45,228.74,2025-09-12
184,309,364.99,2025-12-11
185,63,231.73,2026-08-31
186,437,499.3,2026-02-28
187,455,344.62,2026-01-10
188,152,41.38,2026-08-12
189,333,37.51,2026-02-07
190,302,193.55,2026-05-08
191,102,229.59,2026-05-01
192,221,397.58,2025-10-03
193,424,217.88,2026-04-16
194,426,172.77,2026-06-21
195,321,366.16,2026-05-20
196,157,334.23,2025-10-02
197,94,344.98,2025-10-28
198,99,416.73,2026-05-20
199,134,373.57,2026-04-22
200,338,280.4,2026-05-30
201,434,336.66,2025-12-26
202,295,434.71,2025-10-10
203,520,302.2,2025-09-03
204,230,110.31,2025-12-23
205,377,424.4,2026-01-11
206,232,61.87,2025-12-09
207,27,404.57,2025-10-20
208,274,306.45,2025-11-09
209,317,19.33,2026-02-13
210,186,461.16,2026-03-24
211,411,435.58,2026-01-29
212,32,39.44,2025-09-11
213,386,50.42,2026-01-09
214,379,212.82,2025-10-06
215,87,159.26,2026-04-08
216,51,442.25,2025-12-29
217,435,338.61,2026-01-20
218,280,245.4,2025-12-17
219,354,111.71,2026-01-21
220,499,217.81,2025-10-03
221,226,265.83,2026-07-28
222,8,200.66,2026-07-30
223,141,106.19,2026-08-26
224,123,383.26,2026-03-30
225,180,8.83,2025-11-03
226,236,68.95,2026-01-19
227,363,252.63,2025-10-22
228,44,40.68,2025-12-21
229,80,220.93,2026-03-01
230,415,431.74,2025-09-25
231,118,356.2,2026-02-08
232,176,205.49,2026-02-03
233,371,401.65,2026-02-26
234,250,48.62,2025-09-30
235,81,220.66,2025-12-03
236,348,200.9,2025-12-01
237,79,114.68,2026-04-18
238,199,257.69,2026-04-07
239,152,453.43,2025-11-12
240,203,121.95,2025-10-11
241,78,90.88,2025-12-22
242,506,92.69,2026-08-15
243,460,234.66,2026-01-01
244,331,342.16,2026-04-16
245,155,432.8,2026-06-23
246,311,222.68,2025-12-31
247,361,399.18,2026-01-02
248,463,256.13,2026-06-27
249,294,23.62,2026-07-13
250,93,42.98,2026-08-24
251,474,309.43,2025-10-21
252,43,292.26,2025-12-28
253,193,227.62,2026-08-14
254,155,164.16,2025-11-14
255,352,479.07,2025-12-25
256,177,491.28,2026-08-21
257,450,24.38,2026-08-22
258,373,264.41,2025-12-17
259,419,189.56,2026-05-14
260,54,388.36,2026-02-28
261,68,395.67,2026-03-31
262,396,168.2,2025-11-29
263,154,145.65,2026-01-17
264,145,170.01,2026-06-27
265,402,458.79,2026-01-23
266,87,68.83,2025-10-13
267,337,158.24,2026-03-27
268,96,407.53,2026-04-06
269,371,324.78,2026-03-20
270,220,14.02,2026-05-09
271,197,174.16,2026-03-22
272,80,117.14,2026-08-16
273,520,151.42,2026-02-17
274,39,386.58,2026-05-19
275,135,332.65,2026-02-09
276,186,300.64,2025-12-17
277,170,416.52,2026-05-13
278,374,361.99,2026-06-28
279,455,339.8,2026-06-20
280,460,307.24,2026-01-29
281,481,120.83,2026-03-03
282,452,452.47,2026-04-21
283,392,233.53,2025-11-29
284,166,253.94,2026-05-01
285,142,409.36,2026-05-21
286,493,437.14,2026-06-17
287,106,437.69,2025-09-29
288,128,357.14,2026-08-30
289,280,146.11,2026-02-24
290,448,227.41,2026-01-26
291,462,50.4,2026-03-06
292,425,442.89,2026-08-04
293,242,31.36,2026-05-13
294,230,196.15,2026-03-19
295,344,18.95,2026-06-18
296,294,396.73,2026-01-11
297,143,459.11,2026-07-26
298,6,380.63,2026-03-17
299,221,-453.4,2026-04-23
300,434,418.31,2025-10-03
301,309,60.04,2026-06-10
302,469,65.31,2026-04-30
303,512,36.09,2026-01-09
304,248,-300.39,2026-04-26
305,2,360.68,2025-09-18
306,427,309.33,2026-08-28
307,370,97.72,2026-05-07
308,520,38.5,2026-01-26
309,21,394.27,2026-06-04
310,397,198.27,2026-08-21
311,17,490.61,2026-02-06
312,247,181.76,2025-09-05
313,341,367.81,2025-12-05
314,347,71.04,2026-03-07
315,476,407.69,2026-03-10
316,187,490.51,2026-04-02
317,469,406.69,2026-03-31
318,205,23.31,2026-02-12
319,318,443.47,2026-01-23
320,485,260.11,2026-06-11
321,196,130.39,2026-04-05
322,49,146.62,2026-03-04
323,128,433.57,2026-01-06
324,410,400.67,2025-09-10
325,396,372.94,2025-10-10
326,510,172.82,2026-02-01
327,274,186.84,2026-08-19
328,81,401.57,2025-10-14
329,185,218.15,2026-08-12
330,82,275.01,2025-10-23
331,457,167.32,2025-12-25
332,455,303.3,2026-02-15
333,362,179.02,2025-11-16
334,59,309.35,2026-02-25
335,373,42.15,2026-02-23
336,164,258.98,2026-02-09
337,449,476.63,2026-05-15
338,376,22.23,2025-12-27
339,34,184.26,2025-12-20
340,380,304.52,2026-06-25
341,141,189.15,2025-10-14
342,286,267.08,2026-07-09
343,191,128.56,2026-04-27
344,121,252.03,2026-05-07
345,457,134.58,2025-11-01
346,503,111.21,2026-08-28
347,76,104.09,2025-11-30
348,456,228.76,2025-11-04
349,328,498.64,2025-10-30
350,298,335.58,2026-03-25
351,179,446.21,2026-08-18
352,125,397.88,2025-11-25
353,243,492.64,2026-01-28
354,378,396.23,2025-11-08
355,133,236.37,2026-04-24
356,317,307.91,2026-02-07
357,491,202.09,2025-09-12
358,76,265.22,2026-04-14
359,76,67.04,2025-11-13
360,353,227.74,2026-04-06
361,187,68.53,2026-01-22
362,515,385.05,2026-05-17
363,128,455.8,2025-11-16
364,166,261.46,2026-06-04
365,355,164.72,2026-06-24
366,291,474.0,2025-09-24
367,282,423.74,2025-10-09
368,96,66.96,2026-07-18
369,158,253.77,2025-11-09
370,346,89.74,2025-12-30
371,30,422.05,2026-02-16
372,272,45.21,2025-12-07
373,427,327.31,2026-07-14
374,297,310.96,2026-03-14
375,251,322.74,2026-04-23
376,305,403.32,2026-04-08
377,162,229.5,2026-04-13
378,209,222.6,2026-04-04
379,327,173.4,2026-01-07
380,409,368.43,2026-07-08
381,109,69.73,2026-04-15
382,274,162.96,2026-06-26
383,52,227.55,2026-05-18
384,429,148.65,2025-12-19
385,164,127.89,2026-04-14
386,321,407.67,2025-10-03
387,479,98.97,2025-10-21
388,24,251.89,2025-10-15
389,469,49.57,2025-12-22
390,362,483.51,2025-11-07
391,482,29.09,2026-05-13
392,111,-146.45,2026-03-07
393,375,218.31,2026-02-02
394,411,383.11,2025-10-22
395,372,30.32,2026-01-20
396,517,278.85,2025-11-08
397,122,227.93,2026-04-22
398,383,68.69,2026-05-13
399,375,398.47,2026-04-26
400,412,378.71,2026-09-02
401,141,252.54,2026-03-24
402,468,358.23,2026-02-28
403,144,78.73,2025-10-23
404,167,167.34,2025-12-26
405,307,199.51,2026-02-14
406,502,298.89,2025-09-21
407,18,355.83,2026-01-11
408,427,187.34,2025-09-05
409,28,293.93,2025-10-21
410,234,300.47,2026-06-27
411,175,362.09,2026-08-20
412,390,264.5,2026-03-05
413,33,78.15,2026-03-02
414,196,288.42,2026-05-10
415,156,14.37,2026-02-01
416,514,209.42,2026-07-06
417,64,388.61,2026-02-27
418,333,354.36,2025-10-02
419,386,499.07,2025-09-13
420,351,160.31,2026-06-07
421,271,275.41,2025-12-17
422,253,306.99,2025-12-11
423,305,143.11,2026-03-17
424,501,386.73,2025-11-02
425,281,161.94,2026-02-16
426,389,147.46,2026-05-31
427,354,448.4,2026-06-09
428,298,477.53,2026-03-22
429,81,25.82,2025-10-13
430,263,176.45,2025-10-13
431,278,374.93,2026-06-12
432,141,466.85,2026-06-30
433,246,59.07,2026-01-14
434,232,125.02,2026-06-30
435,424,320.78,2025-09-17
436,141,168.5,2026-05-23
437,162,7.56,2026-03-20
438,488,206.42,2026-08-30
439,295,241.34,2025-10-09
440,92,163.98,2026-07-02
441,39,327.89,2026-06-03
442,181,457.05,2025-12-19
443,407,467.29,2026-09-02
444,297,395.04,2026-02-13
445,110,-438.99,2026-01-07
446,466,464.59,2026-06-27
447,506,494.6,2026-02-09
448,517,445.18,2026-08-31
449,116,236.67,2026-06-12
450,264,168.69,2025-11-27
451,346,-360.71,2026-06-25
452,198,396.43,2026-04-05
453,416,91.87,2026-01-08
454,89,414.36,2026-05-20
455,144,203.41,2026-04-21
456,7,241.34,2025-11-01
457,274,134.09,2025-10-22
458,12,477.25,2025-11-16
459,242,134.47,2025-11-16
460,315,35.75,2025-09-23
461,319,84.06,2026-01-08
462,303,346.69,2025-12-13
463,137,186.93,2026-03-18
464,383,241.7,2025-12-29
465,483,210.84,2026-05-17
466,224,379.89,2025-12-16
467,84,382.12,2025-12-08
468,371,265.13,2026-07-13
469,64,43.66,2026-08-28
470,208,415.24,2026-05-08
471,336,288.49,2025-10-06
472,211,427.97,2026-08-20
473,457,359.87,2026-06-16
474,426,405.3,2026-08-04
475,474,231.12,2026-08-31
476,23,338.02,2026-07-16
477,224,200.99,2025-10-18
478,353,291.26,2026-07-15
479,62,351.69,2025-12-02
480,484,467.62,2026-05-20
481,139,20.71,2026-07-02
482,431,384.08,2026-06-07
483,460,190.36,2026-05-07
484,385,435.46,2026-02-28
485,137,44.72,2026-04-01
486,183,328.5,2025-12-09
487,131,496.46,2026-01-31
488,4,365.29,2026-02-14
489,475,379.31,2026-04-21
490,389,338.38,2026-07-21
491,355,412.56,2025-10-06
492,116,81.79,2026-03-09
493,17,20.95,2025-12-12
494,35,124.13,2026-08-10
495,50,225.99,2026-01-15
496,450,126.14,2026-08-15
497,58,121.0,2025-12-30
498,240,74.37,2025-09-02
499,327,408.81,2026-06-12
500,329,290.85,2026-05-28
501,227,122.27,2026-05-27
502,180,209.71,2026-02-16
503,508,314.87,2026-05-03
504,391,28.21,2026-01-11
505,427,393.97,2025-09-25
506,189,207.09,2026-03-16
507,231,378.44,2025-11-20
508,475,153.86,2026-02-06
509,427,457.8,2025-11-18
510,249,280.86,2025-12-09
511,81,131.22,2026-07-02
512,95,461.5,2026-01-03
513,53,270.14,2026-04-01
514,41,137.89,2026-03-28
515,223,437.44,2026-02-26
516,341,242.3,2026-01-05
517,217,155.08,2026-05-09
518,121,468.89,2025-09-19
519,249,374.71,2025-10-08
520,407,349.34,2026-06-15
521,290,457.99,2026-02-17
522,368,193.43,2025-10-17
523,510,157.67,2026-07-12
524,481,235.67,2026-02-10
525,209,382.01,2025-09-02
526,227,188.5,2026-08-18
527,428,-371.92,2025-11-15
528,236,151.12,2026-05-12
529,512,193.02,2025-10-20
530,346,277.57,2026-04-27
531,503,132.38,2025-10-30
532,361,233.11,2026-08-09
533,501,88.79,2025-12-11
534,61,96.1,2026-04-29
535,77,264.35,2025-12-02
536,7,472.87,2026-01-16
537,237,209.13,2026-07-29
538,224,38.64,2025-11-01
539,495,255.34,2026-01-25
540,422,-331.35,2025-12-22
541,282,10.87,2026-05-15
542,515,270.19,2025-11-26
543,184,407.51,2026-04-29
544,153,57.97,2026-05-17
545,259,124.28,2025-09-02
546,407,408.53,2026-02-23
547,471,44.11,2025-10-20
548,232,284.68,2025-11-23
549,83,153.49,2026-05-08
550,33,328.6,2025-09-05
551,488,51.28,2026-05-14
552,176,-32.78,2026-06-28
553,340,45.93,2026-08-29
554,98,285.1,2026-02-03
555,236,447.92,2025-10-20
556,487,109.65,2025-09-27
557,288,139.19,2026-01-20
558,34,450.16,2026-05-27
559,17,93.78,2025-10-09
560,408,480.93,2025-12-25
561,247,464.79,2026-07-21
562,340,285.51,2025-10-22
563,81,195.0,2026-06-12
564,55,252.89,2026-06-04
565,78,53.35,2025-10-20
566,407,173.59,2026-08-31
567,280,484.62,2025-10-24
568,234,392.86,2026-03-15
569,443,181.13,2025-09-05
570,390,96.94,2026-04-27
571,253,47.42,2026-02-10
572,158,357.99,2026-05-24
573,158,193.1,2026-04-19
574,110,371.13,2025-10-27
575,456,50.3,2026-01-30
576,136,183.16,2026-05-11
577,418,48.21,2026-07-13
578,96,56.13,2025-10-03
579,395,300.48,2025-10-08
580,87,11.11,2026-06-04
581,249,363.8,2026-04-05
582,390,288.12,2026-01-20
583,275,88.9,2026-08-20
584,446,249.1,2025-12-26
585,79,141.6,2025-10-23
586,508,183.76,2025-12-12
587,110,298.93,2025-10-02
588,406,-72.07,2026-03-23
589,338,169.45,2026-04-09
590,140,222.91,2026-04-12
591,206,153.72,2026-06-14
592,408,242.11,2026-05-12
593,503,484.52,2026-07-09
594,334,484.04,2026-04-30
595,403,191.15,2025-12-21
596,205,185.68,2026-03-10
597,28,298.15,2026-03-07
598,215,476.74,2026-06-02
599,71,222.04,2025-12-19
600,419,410.39,2025-09-21
601,311,338.12,2026-07-27
602,434,124.8,2026-08-17
603,491,395.59,2026-03-02
604,429,293.21,2025-10-13
605,369,274.1,2026-03-03
606,88,352.31,2026-04-07
607,364,59.14,2026-03-14
608,410,87.34,2026-08-25
609,441,483.57,2026-08-29
610,228,57.44,2026-08-09
611,227,257.78,2025-10-20
612,513,225.66,2026-07-14
613,495,79.62,2026-03-29
614,88,56.75,2026-01-13
615,146,62.45,2026-05-09
616,212,177.42,2026-06-08
617,100,262.95,2026-08-17
618,327,221.89,2026-06-10
619,118,38.25,2025-09-08
620,112,16.18,2025-09-26
621,250,340.18,2025-12-06
622,339,260.42,2025-09-16
623,238,282.13,2025-09-24
624,191,399.89,2026-06-17
625,30,322.04,2026-03-06
626,461,370.01,2026-04-20
627,220,298.14,2026-03-04
628,65,106.86,2026-02-01
629,192,290.79,2026-05-16
630,117,186.07,2025-10-02
631,321,134.86,2026-03-17
632,117,300.5,2026-04-15
633,177,177.22,2025-12-12
634,305,407.8,2025-12-24
635,138,459.75,2026-03-08
636,120,160.03,2025-11-15
637,398,95.61,2026-06-24
638,393,212.03,2026-03-17
639,178,214.4,2026-01-23
640,144,279.68,2026-04-22
641,55,97.61,2026-07-04
642,497,433.43,2026-05-09
643,518,72.58,2025-09-26
644,504,328.27,2026-05-15
645,501,210.74,2026-05-27
646,226,87.79,2026-07-08
647,296,149.58,2025-09-23
648,508,88.26,2025-10-03
649,117,277.11,2026-02-08
650,376,137.61,2026-02-14
651,452,273.31,2026-04-12
652,105,275.44,2025-12-24
653,254,369.31,2026-05-31
654,461,152.37,2026-05-31
655,90,135.09,2025-10-15
656,243,222.34,2026-05-19
657,360,108.89,2026-05-16
658,439,431.22,2025-10-31
659,212,87.16,2026-08-16
660,360,407.7,2026-03-12
661,173,268.48,2026-06-15
662,297,165.21,2026-05-23
663,98,288.5,2025-11-02
664,422,72.12,2025-10-18
665,130,459.79,2026-06-14
666,150,352.21,2025-12-09
667,403,357.14,2026-07-23
668,276,247.28,2026-06-11
669,78,315.77,2025-09-12
670,96,318.65,2026-06-24
671,378,204.41,2025-12-10
672,3,230.07,2025-09-25
673,96,435.11,2026-05-20
674,367,366.81,2026-04-01
675,408,425.8,2025-09-30
676,217,112.83,2026-02-15
677,291,249.88,2026-01-11
678,497,172.19,2026-03-03
679,50,395.21,2026-03-28
680,471,27.74,2026-01-14
681,162,13.06,2025-12-04
682,439,-223.44,2025-10-09
683,136,105.15,2026-03-31
684,281,441.66,2026-05-24
685,85,51.2,2025-11-24
686,170,189.06,2026-03-07
687,240,30.63,2025-09-18
688,98,217.47,2026-07-14
689,136,5.54,2025-11-30
690,456,298.87,2026-02-21
691,124,9.6,2026-01-20
692,136,494.14,2025-10-26
693,92,241.46,2026-08-08
694,321,366.73,2026-07-12
695,392,186.94,2026-03-23
696,137,387.86,2026-08-02
697,71,322.58,2026-05-31
698,169,-267.6,2026-02-02
699,156,222.85,2025-12-28
700,454,460.35,2026-02-01
701,103,430.68,2026-05-23
702,394,74.31,2025-12-10
703,144,179.01,2025-09-30
704,255,127.65,2026-01-16
705,292,278.93,2026-03-04
706,309,390.59,2026-07-29
707,194,106.7,2025-11-06
708,56,375.18,2026-06-23
709,246,392.98,2026-08-27
710,512,249.97,2026-08-17
711,13,320.85,2025-09-27
712,136,493.51,2026-02-19
713,431,196.48,2025-12-14
714,483,185.88,2026-07-08
715,18,477.45,2025-12-30
716,221,-295.74,2026-03-23
717,408,24.71,2025-09-04
718,514,255.77,2025-11-14
719,412,384.72,2026-03-27
720,157,45.8,2025-12-22
721,209,142.35,2026-04-17
722,335,487.29,2026-02-18
723,68,198.41,2026-04-06
724,245,158.53,2026-03-01
725,445,33.66,2026-06-11
726,57,62.41,2025-11-12
727,180,158.1,2026-07-28
728,12,64.12,2026-06-07
729,266,86.1,2025-11-30
730,276,87.65,2025-09-04
731,31,367.8,2026-01-30
732,66,170.83,2025-11-26
733,79,135.16,2026-01-06
734,57,250.59,2026-07-06
735,377,252.31,2026-07-20
736,119,82.87,2026-08-16
737,46,118.06,2025-09-02
738,48,-430.05,2026-04-30
739,154,238.52,2026-07-09
740,37,93.59,2026-05-26
741,430,278.67,2025-10-10
742,328,116.14,2026-03-14
743,382,139.27,2025-11-28
744,54,64.1,2026-03-01
745,48,93.78,2025-09-23
746,477,477.27,2026-09-01
747,319,433.69,2026-05-20
748,9,167.01,2025-10-06
749,312,187.62,2026-08-05
750,378,371.09,2026-07-27
751,201,297.89,2026-03-11
752,252,367.57,2026-05-16
753,25,79.53,2026-01-16
754,10,120.33,2026-08-24
755,386,-475.74,2025-10-03
756,107,425.26,2025-10-06
757,430,106.57,2025-10-20
758,146,248.55,2026-06-29
759,238,357.27,2025-09-29
760,382,449.16,2026-03-28
761,98,231.94,2026-02-08
762,404,255.19,2026-08-20
763,446,42.04,2025-11-27
764,299,332.91,2025-12-06
765,403,134.19,2025-12-26
766,326,351.86,2026-06-22
767,208,229.12,2026-05-16
768,112,72.38,2026-05-29
769,478,81.93,2025-12-27
770,367,160.45,2025-12-10
771,316,482.49,2025-09-29
772,93,234.36,2025-11-15
773,42,83.02,2026-06-14
774,152,111.44,2026-04-04
775,365,50.15,2025-10-28
776,307,201.14,2025-11-01
777,32,133.78,2026-02-19
778,256,476.29,2026-01-28
779,144,51.89,2026-03-17
780,228,65.12,2026-08-21
781,382,69.7,2025-11-16
782,87,344.71,2025-12-23
783,77,293.25,2025-12-07
784,455,15.79,2025-10-15
785,340,405.6,2025-10-29
786,52,65.65,2026-05-11
787,405,88.15,2026-07-01
788,437,250.58,2026-05-15
789,192,90.54,2025-09-16
790,153,141.12,2026-07-04
791,252,22.15,2025-12-30
792,491,325.4,2025-10-05
793,141,35.18,2025-12-01
794,256,212.52,2026-01-10
795,20,317.22,2026-03-08
796,368,494.75,2026-05-07
797,353,242.44,2025-12-06
798,398,456.78,2026-08-30
799,225,138.87,2025-09-13
800,288,19.51,2026-01-28
801,367,34.0,2026-02-14
802,164,384.59,2026-06-02
803,273,54.57,2025-12-02
804,58,269.18,2026-02-18
805,398,383.2,2026-06-23
806,178,180.63,2025-10-23
807,368,92.17,2025-09-06
808,361,457.42,2026-07-02
809,193,474.04,2026-08-27
810,505,419.16,2025-10-19
811,39,273.35,2026-06-30
812,225,49.68,2026-01-16
813,340,14.86,2026-04-20
814,134,459.36,2026-04-25
815,332,173.68,2026-04-03
816,146,34.48,2025-12-05
817,374,388.31,2026-06-26
818,406,480.48,2025-09-09
819,331,295.08,2025-09-25
820,448,72.54,2026-07-29
821,325,396.96,2026-02-11
822,366,91.23,2025-10-19
823,180,115.5,2026-07-30
824,302,192.3,2026-07-02
825,401,68.04,2026-01-01
826,34,426.12,2025-09-17
827,227,95.13,2026-02-17
828,509,321.63,2025-11-02
829,244,74.62,2026-03-31
830,91,176.67,2026-06-29
831,344,411.72,2026-01-24
832,256,226.08,2025-09-12
833,111,348.12,2026-05-10
834,449,361.6,2025-11-04
835,424,367.63,2025-11-19
836,385,249.08,2025-11-09
837,231,55.21,2025-12-13
838,35,85.51,2026-07-22
839,108,150.98,2025-09-14
840,385,41.73,2026-04-16
841,96,84.65,2025-11-30
842,495,172.29,2025-12-19
843,169,353.73,2026-01-30
844,55,305.62,2026-03-22
845,195,55.12,2025-09-24
846,272,207.59,2025-12-13
847,99,332.0,2025-10-22
848,503,29.57,2025-11-14
849,438,81.03,2026-07-22
850,492,48.38,2026-03-13
851,175,103.84,2026-04-20
852,485,320.9,2026-06-22
853,408,422.67,2026-06-19
854,272,238.12,2026-08-30
855,190,50.11,2026-06-15
856,192,188.66,2026-01-11
857,477,225.66,2026-03-20
858,64,135.38,2026-02-26
859,100,79.81,2026-08-02
860,424,47.43,2026-03-04
861,63,485.5,2026-01-22
862,429,421.19,2025-11-06
863,487,482.99,2025-12-27
864,307,288.49,2025-11-21
865,36,44.08,2026-07-26
866,151,253.54,2026-06-13
867,178,64.54,2025-09-23
868,217,474.79,2026-08-30
869,434,405.19,2026-03-14
870,207,43.79,2026-06-09
871,265,498.65,2026-09-02
872,69,163.28,2026-08-24
873,334,48.08,2025-10-08
874,13,429.03,2026-04-30
875,430,394.34,2025-12-08
876,103,60.7,2026-06-27
877,104,462.84,2026-08-03
878,353,393.94,2025-09-22
879,498,439.56,2026-09-01
880,177,288.15,2025-11-21
881,412,141.33,2026-07-08
882,340,24.2,2026-06-20
883,487,346.8,2026-01-09
884,21,460.81,2026-07-06
885,319,172.24,2026-07-08
886,101,143.77,2025-11-05
887,308,486.39,2026-04-06
888,329,487.24,2026-06-24
889,92,138.36,2026-05-15
890,417,98.03,2026-08-02
891,383,371.77,2025-09-12
892,163,411.4,2026-05-16
893,414,37.48,2026-08-14
894,30,72.15,2026-03-27
895,206,91.0,2026-03-27
896,468,419.3,2025-11-09
897,204,30.03,2026-08-29
898,518,140.62,2026-07-21
899,32,201.49,2026-03-01
900,457,124.76,2025-12-24
901,359,92.9,2026-02-28
902,265,175.4,2025-10-05
903,292,375.74,2025-11-26
904,220,18.59,2025-11-21
905,212,429.27,2026-03-13
906,21,138.2,2025-09-02
907,10,432.99,2026-08-03
908,178,239.68,2025-11-14
909,259,-302.57,2025-10-19
910,282,306.13,2026-05-22
911,358,214.78,2026-08-04
912,310,232.2,2026-07-08
913,407,340.21,2025-12-29
914,384,-294.32,2025-09-10
915,290,282.92,2026-04-04
916,66,152.75,2026-08-03
917,333,171.46,2026-06-12
918,306,431.44,2026-07-08
919,247,98.24,2026-07-14
920,414,450.35,2026-08-19
921,27,331.96,2026-01-16
922,266,329.42,2026-08-12
923,37,453.92,2026-01-24
924,195,293.6,2025-10-08
925,488,174.87,2025-12-21
926,520,453.73,2025-10-21
927,186,153.6,2025-10-29
928,265,150.42,2026-08-15
929,188,363.97,2026-06-18
